Sushi	June 17, 2006	Hamster (Roborovskii)	Agouti	Female	April 14, 2006	Gone to Hamster Heaven	Singapore,  Singapore	Singapore,  Singapore	Singapore,  Singapore	Corn
Dumpling	June 17, 2006	Hamster (Roborovskii)	Agouti	Male	February 5, 2006	Gone to Hamster Heaven	Singapore,  Singapore	Singapore,  Singapore	Singapore,  Singapore	Sunflower seeds
Moonlight	July 18, 2006	Hamster (Dwarf)	Sapphire	Female	June 1, 2006	Gone to Hamster Heaven	Singapore,  Singapore	wheel	wheel	white balls and sunflower seeds
Shadow	July 18, 2006	Hamster (Dwarf)	Black Banded	Female	June 1, 2006	Gone to Hamster Heaven	Singapore,  Singapore	wheel	wheel	white balls and sunflower seeds
Toasty	August 7, 2006	Hamster (Dwarf)	White	Female	July 27, 2006	Gone to Hamster Heaven	Singapore,  Singapore	Wheel	Wheel	Sunflower seeds
aH toO	August 16, 2006	Hamster (Roborovskii)	Agouti	Male	July 15, 2006	Gone to Hamster Heaven	Aljunied,  Singapore	woOdeN pLaygRounD	woOdeN pLaygRounD	sUnfLoweR seEds
Stuart	August 6, 2006	Hamster (Dwarf)	White	Male	February 1, 2005	Gone to Hamster Heaven	Singapore,  Singapore	Wheel	Wheel	All stuff
Tom	October 24, 2004	Hamster (Dwarf)	Blue	Male	September 1, 2004	Gone to Hamster Heaven	Cleethorpes / Hull,  United Kingdom	His exercise wheel.	His exercise wheel.	Fresh vegetables - especially broccoli, cucumber, and cauliflower.
xiao jin	February 17, 2006	Hamster (Dwarf)	Grey	Male	May 15, 2005	Gone to Hamster Heaven	Singapore,  Singapore	everything except my owner's fingers	everything except my owner's fingers	carrots, cabbage, bread, nuts etc
Nibbles	June 8, 2004	Hamster (Dwarf)	Cream	Female	January 11, 2003	Gone to Hamster Heaven	Costa Mesa, CA&nbsp; United States	the Wheel	the Wheel	the Wheel
peanut	August 6, 2006	Hamster (Teddy Bear)	Brown	Female	April 4, 2006	Gone to Hamster Heaven	Newark, DE&nbsp; United States	hamster ball	hamster ball	peanut has a lot of favorite foods, she likes peanuts carrots celery peaches grapes dougnuts cookies blueberry pie sunflower seeds cashews corn popcorn peanutbutter potato chips waffles pumikn seeds pumkin pie pankakes pet grass candy corn and starbursts
Lemon	August 30, 2006	Hamster (Dwarf)	Pearl	Female	June 10, 2006	Gone to Hamster Heaven	Singapore,  Singapore	Tissue paper :)	Tissue paper :)	Brocolli and dried Daffodils
mini	August 29, 2007	Hamster (Roborovskii)	Beige	Male	August 9, 2007	54 months	Singapore,  Singapore	toliet roll	toliet roll	toliet roll
Mormor and Horhor	July 29, 2007	Hamster (Common)	Grey	Male	July 10, 2007	55 months	Singapore,  Singapore	Tv House	Tv House	Apples
Dixiebell	April 4, 2008	Hamster (Dwarf)	Cinnamon Banded	Female	December 14, 2007	50 months	Sinagpore,  Singapore	pigsy	pigsy	sunflower seeds
White Retardy	November 18, 2006	Hamster (Dwarf)	White	Male	August 1, 2006	66 months	Singapore,  Singapore	Drinking bottle	Drinking bottle	All food
Luiz	March 12, 2008	Hamster (Syrian)	Golden	Male	November 9, 2006	63 months	Kolding,  Denmark	hamster ball	hamster ball	yoghurt drops
Dixie	March 4, 2008	Hamster (Syrian)	White	Female	January 16, 2008	49 months	Edinburgh,  United Kingdom	toilet roll tubes	toilet roll tubes	grapes
Spot	March 4, 2008	Hamster (Syrian)	Silver	Female	January 16, 2008	49 months	Edinburgh,  United Kingdom	wheel	wheel	raisins
Delilah	March 4, 2008	Hamster (Syrian)	Silver	Female	November 1, 2007	51 months	Edinburgh,  United Kingdom	wheel	wheel	peanuts
Pip	March 4, 2008	Hamster (Syrian)	Tortoise Shell	Female	January 16, 2008	49 months	Edinburgh,  United Kingdom	wheel	wheel	carrots
Kirby	March 12, 2008	Hamster (Siberian)	Agouti	Female	March 29, 2007	59 months	Naples, FL&nbsp; United States	She loves her lookout tower	She loves her lookout tower	Yogies (but she doesn't get those often)
Sonic	March 12, 2008	Hamster (Russian)	Black	Female	September 15, 2007	53 months	Naples, FL&nbsp; United States	Her wheel	Her wheel	Yogies, of course
Mishka	March 14, 2008	Hamster (Teddy Bear)	Golden	Female	January 29, 2008	Gone to Hamster Heaven	Santa Barbara, CA&nbsp; United States	paper towel rolls	paper towel rolls	peanuts, sunflower seeds, corn.
Wasabi	March 24, 2008	Hamster (Roborovskii)	Agouti	Male	March 16, 2008	47 months	Miami, FL&nbsp; United States	his new TV hide-out	his new TV hide-out	Nutriphase wild berry yogurt drops and Kaytee Healthy Bits!
Ueki	August 11, 2004	Hamster (Common)	Brown	Female	May 12, 2002	Gone to Hamster Heaven	Scotch Plains, NJ&nbsp; United States	Tissue Paper	Tissue Paper	Yogurt Drops
Anisoara	June 6, 2004	Hamster (Common)	Nutmeg	Female	April 25, 2002	Gone to Hamster Heaven	Port Moody, BC&nbsp; Canada	Electric cord	Electric cord	Sunflower seeds
geena	August 14, 2005	Hamster (Russian)	Cream	Female	July 27, 2003	Gone to Hamster Heaven	Tunkhannock, PA&nbsp; United States	wheel	wheel	yogies
Luna	January 15, 2005	Hamster (Syrian)	Golden Banded	Female	October 31, 2004	Gone to Hamster Heaven	Houston, TX&nbsp; United States	Wheel!	Wheel!	Broccoli
Brownie	March 28, 2005	Hamster (Syrian)	Orange	Female	March 27, 2005	Gone to Hamster Heaven	Houston, TX&nbsp; United States	Wheel	Wheel	Sunflowers
Soli	May 15, 2005	Hamster (Dwarf)	Grey	Female	May 5, 2005	Gone to Hamster Heaven	Houston, TX&nbsp; United States	Wheel	Wheel	Sunflowers
Estrella	May 15, 2005	Hamster (Dwarf)	Smoke Pearl	Female	May 5, 2005	Gone to Hamster Heaven	Houston, TX&nbsp; United States	Toilet roll	Toilet roll	Pellets
La Negra	July 28, 2005	Hamster (Syrian)	Brown	Female	May 30, 2005	Gone to Hamster Heaven	Houston, TX&nbsp; United States	Wheel	Wheel	Celery
Ham-Ham	August 10, 2005	Hamster (Dwarf)	Opal	Male	April 21, 2005	Gone to Hamster Heaven	Shenandoah, PA&nbsp; United States	hamster wheel	hamster wheel	pumpikin seed
Rookie	August 11, 2005	Hamster (Syrian)	Cinnamon	Male	February 18, 2005	Gone to Hamster Heaven	Shenandoah, PA&nbsp; United States	hamster wheel	hamster wheel	sunflower seed
Moby	June 25, 2004	Hamster (Syrian)	White	Female	June 19, 2002	Gone to Hamster Heaven	Singapore,  Singapore	Cage's metal bars	Cage's metal bars	sunflower seeds, apples, carrots
Mabo	May 6, 2004	Hamster (Syrian)	Silver	Male	May 1, 2002	Gone to Hamster Heaven	Singapore,  Singapore	Running wheel	Running wheel	Small bits of ham
Caleb	July 31, 2004	Hamster (Syrian)	Black Banded	Male	May 1, 2004	Gone to Hamster Heaven	East Wareham, MA&nbsp; United States	Ball.	Ball.	Brocolli,green grapes and apples.
Kenzye	July 31, 2004	Hamster (Teddy Bear)	Brown	Female	May 1, 2004	Gone to Hamster Heaven	East Wareham, MA&nbsp; United States	Ball and wheel	Ball and wheel	Grapes and Carrots
Granite	July 20, 2004	Hamster (Syrian)	Golden Banded	Male	June 9, 2001	Gone to Hamster Heaven	Fredericksburg, VA&nbsp; United States	His food dish	His food dish	Sunflower Seeds
Joey	July 21, 2004	Hamster (Unknown)	Albino	Male	February 4, 2004	Gone to Hamster Heaven	Fredericksburg, VA&nbsp; United States	Wheel	Wheel	Everything
Meemee	December 11, 2004	Hamster (Syrian)	White	Male	October 15, 2004	Gone to Hamster Heaven	Yokohama,  Japan	chopstick	chopstick	chinese cabbage
Hamlet	November 25, 2004	Hamster (Teddy Bear)	Golden Banded	Male	May 29, 2004	Gone to Hamster Heaven	Pasadena, CA&nbsp; United States	Cage bars	Cage bars	Nut-flavored stick treats
Logan	August 27, 2005	Hamster (Syrian)	White	Female	June 5, 2005	Gone to Hamster Heaven	Pasadena, CA&nbsp; United States	Pasadena, CA&nbsp; United States	Pasadena, CA&nbsp; United States	Berry-flavored stick treats
Ham &amp; Cheese	December 12, 2005	Hamster (Unknown)	Agouti	Female	December 1, 2004	Gone to Hamster Heaven	New York, NY&nbsp; United States	New York, NY&nbsp; United States	New York, NY&nbsp; United States	New York, NY&nbsp; United States
Leela	December 16, 2005	Hamster (Syrian)	Honey	Female	October 15, 2005	Gone to Hamster Heaven	Brooklyn, NY&nbsp; United States	Brooklyn, NY&nbsp; United States	Brooklyn, NY&nbsp; United States	anything tasty
Johnny Cash	December 1, 2005	Hamster (Syrian)	Black	Male	September 15, 2005	Gone to Hamster Heaven	Brooklyn, NY&nbsp; United States	wheel	wheel	pretzel shaped doggy biscuits
Mrs. Hamster	July 16, 2006	Hamster (Roborovskii)	White	Female	February 1, 2006	Gone to Hamster Heaven	Highland Park, NJ&nbsp; United States	Cotton Balls	Cotton Balls	sunflower seeds
Mr. Man	July 16, 2006	Hamster (Roborovskii)	White	Male	February 1, 2006	Gone to Hamster Heaven	Highland Park, NJ&nbsp; United States	The hamster tubing attatched to his cage	The hamster tubing attatched to his cage	Sunflower seeds
Sugar Pea	July 15, 2006	Hamster (Roborovskii)	Orange	Male	September 22, 2004	Gone to Hamster Heaven	Anchorage, AK&nbsp; United States	Wheel	Wheel	Whole Millet
Almond	July 15, 2006	Hamster (Chinese)	Fawn	Male	March 23, 2005	Gone to Hamster Heaven	Anchorage, AK&nbsp; United States	Coconut shell	Coconut shell	Whole wheat, fresh baked, sweet, bread.
Haley	August 10, 2006	Hamster (Roborovskii)	Agouti	Female	March 4, 2006	Gone to Hamster Heaven	Manila,  Philippines	Her purple wheel	Her purple wheel	Apples
Newton	August 10, 2006	Hamster (Roborovskii)	Agouti	Male	March 4, 2006	Gone to Hamster Heaven	Manila,  Philippines	Blue wheel to chew on	Blue wheel to chew on	Sunflower seeds
chunky	December 15, 2004	Hamster (Siberian)	Cinnamon	Male	November 20, 2004	Gone to Hamster Heaven	Imus, Cavite,  Philippines	wheel	wheel	sunflower seeds
empoy	December 15, 2004	Hamster (Teddy Bear)	Golden Banded	Male	April 4, 2004	Gone to Hamster Heaven	Imus, Cavite,  Philippines	his yellow hamster mobile (ball)	his yellow hamster mobile (ball)	popcorn &amp; pistachios
chinky	December 15, 2004	Hamster (Siberian)	Nutmeg	Female	November 21, 2004	Gone to Hamster Heaven	Imus, Cavite,  Philippines	chunky	chunky	chunky, ate honey's finger
utoy	November 20, 2005	Hamster (Teddy Bear)	Nutmeg	Male	August 27, 2005	Gone to Hamster Heaven	Imus, Cavite,  Philippines	his running ball, wheel and running dish	his running ball, wheel and running dish	sunflower seeds, bread, cornflakes and popcorn
Sugar	July 20, 2006	Hamster (Roborovskii)	Agouti	Female	April 2, 2006	Gone to Hamster Heaven	., TX&nbsp; United States	., TX&nbsp; United States	., TX&nbsp; United States	peanuts
Strawberry Short Cake	July 20, 2006	Hamster (Roborovskii)	Agouti	Female	April 2, 2006	Gone to Hamster Heaven	., TX&nbsp; United States	., TX&nbsp; United States	., TX&nbsp; United States	sunflower seeds
Mer	August 19, 2006	Hamster (Dwarf)	Sapphire	Male	April 4, 2006	Gone to Hamster Heaven	Singapore,  Singapore	running wheel	running wheel	corn cobs!
Cheeky	June 8, 2006	Hamster (Common)	Sable Banded	Male	January 28, 2006	Gone to Hamster Heaven	Toronto, ON&nbsp; Canada	Run - Around - In - Ball, Maze, Leash, and my favourite piece of cloth -_- (It's all shreddies now)	Run - Around - In - Ball, Maze, Leash, and my favourite piece of cloth -_- (It's all shreddies now)	Treats. Peanut Butter. Veggies.
Bebe	June 9, 2006	Hamster (Common)	Golden Banded	Female	February 8, 2003	Gone to Hamster Heaven	Toronto, ON&nbsp; Canada	Toilet Tubes	Toilet Tubes	Sunflower Seeds
Tofu	June 5, 2007	Hamster (Teddy Bear)	Cinnamon Banded	Male	April 1, 2007	58 months	Santa Cruz, CA&nbsp; United States	Santa Cruz, CA&nbsp; United States	Santa Cruz, CA&nbsp; United States	Lettuce and pumpkin seeds
Fatso Baby	September 29, 2007	Hamster (Roborovskii)	White	Female	January 6, 2007	Gone to Hamster Heaven	Highland Park, NJ&nbsp; United States	FOOD	FOOD	If it's edible she'll eat it
Ookiimaru	March 8, 2007	Hamster (Syrian)	Cinnamon Banded	Male	November 8, 2006	Gone to Hamster Heaven	Singapore,  Singapore	The corners of his cage XD	The corners of his cage XD	Rice, yoghurt drops, peanut butter, carrot flavoured dog biscuit, carrots, porridge, anything besides his staple grains really.
Princess Peach	April 27, 2007	Hamster (Teddy Bear)	Cinnamon	Female	March 17, 2007	Gone to Hamster Heaven	Thomaston, GA&nbsp; United States	The Wheel	The Wheel	Seeds
Moose	September 9, 2007	Hamster (Syrian)	Golden	Male	April 22, 2007	Gone to Hamster Heaven	London,  United Kingdom	Wheel	Wheel	Anything really :)
Milou	August 26, 2007	Hamster (Syrian)	Cream	Male	June 1, 2007	56 months	Singapore,  Singapore	Singapore,  Singapore	Singapore,  Singapore	Anything, really!
Theodore	July 29, 2007	Hamster (Syrian)	Agouti	Male	June 10, 2007	Gone to Hamster Heaven	Red Deer, AB&nbsp; Canada	Treak-Ka-Bob, Timber Hide-A-Way	Treak-Ka-Bob, Timber Hide-A-Way	Milk Bones, Banana Chips, Yogurt Drops, Sunflower Seeds
Crisco	June 26, 2007	Hamster (Syrian)	Honey	Male	April 15, 2007	58 months	Fawn Twp, PA&nbsp; United States	Hamster Ball, and wheel	Hamster Ball, and wheel	Sunflower Seeds
Baby  Girl	June 2, 2007	Hamster (Teddy Bear)	White	Female	August 29, 2006	Gone to Hamster Heaven	Grove City, PA&nbsp; United States	ball or kleenex box	ball or kleenex box	cantaloupe and peanuts
Miss Sherbet	May 5, 2007	Hamster (Syrian)	Honey	Female	April 18, 2007	Gone to Hamster Heaven	Dallas, TX&nbsp; United States	Wheel	Wheel	Meal Worms
Twelve o'clock	March 6, 2007	Hamster (Teddy Bear)	Brown	Female	December 25, 2005	Gone to Hamster Heaven	Conway, SC&nbsp; United States	Wires of her cage	Wires of her cage	sunflower seeds
Peetu	February 21, 2007	Hamster (Syrian)	Cream	Female	January 1, 2007	61 months	Falls Church, VA&nbsp; United States	Falls Church, VA&nbsp; United States	Falls Church, VA&nbsp; United States	pizza crusts
chanito	December 20, 2006	Hamster (Dwarf)	Platinum	Male	November 1, 2006	63 months	Villahermosa, Tabasco,  Mexico	her wheel	her wheel	mmm all?
Queen Kuma von Keiken	August 12, 2006	Hamster (Syrian)	Black Banded	Female	January 1, 2006	Gone to Hamster Heaven	Minneapolis, MN&nbsp; United States	She refuses to chew on any toy we give her unless it is some kind of food.  She's very fat and proud of it.	She refuses to chew on any toy we give her unless it is some kind of food.  She's very fat and proud of it.	Anything big.  She hates those little seeds in her food and throws them out of her cage
Lady Panda von Kuechen	August 13, 2006	Hamster (Syrian)	Calico	Female	January 1, 2006	Gone to Hamster Heaven	Minneapolis, MN&nbsp; United States	Chewing sticks and cardboard.	Chewing sticks and cardboard.	What cha got?
Baroness SnowflakevonFuzzyButt	August 14, 2006	Hamster (Russian)	White	Female	January 1, 2006	Gone to Hamster Heaven	Minneapolis, MN&nbsp; United States	The bars on her cage	The bars on her cage	Anything and everything
Duke Tipsy von Taro	August 17, 2006	Hamster (Teddy Bear)	Brown	Male	January 1, 2006	Gone to Hamster Heaven	Minneapolis, MN&nbsp; United States	He doesn't care for toys very much.	He doesn't care for toys very much.	Corn!!
Baron Digger Von Fuzzy Butt	December 15, 2006	Hamster (Dwarf)	Grey	Male	August 1, 2006	Gone to Hamster Heaven	Minneapolis, MN&nbsp; United States	His bedding.	His bedding.	Seasame seed treats!!!!!!!!!
Halo	August 26, 2006	Hamster (Chinese)	Agouti	Female	March 1, 2003	Gone to Hamster Heaven	Anchorage, AK&nbsp; United States	Wheel, Coconut shell, anything new and intersting.	Wheel, Coconut shell, anything new and intersting.	Sunflower seeds
Sugar Pea Profile: II	September 17, 2006	Hamster (Roborovskii)	Orange	Male	September 22, 2004	Gone to Hamster Heaven	Anchorage, AK&nbsp; United States	Wheel	Wheel	Millet. Though it is out of favor for the time being.
Nismo	November 24, 2004	Hamster (Teddy Bear)	Golden Banded	Male	May 11, 2003	Gone to Hamster Heaven	Frisco, TX&nbsp; United States	Frisco, TX&nbsp; United States	Frisco, TX&nbsp; United States	Yogurt drops
Humphrey	November 16, 2005	Hamster (Teddy Bear)	Calico	Male	August 1, 2005	Gone to Hamster Heaven	Fargo, ND&nbsp; United States	Toothbrush	Toothbrush	Banana Chips
Alfie	February 13, 2005	Hamster (Teddy Bear)	Grey	Male	January 1, 2005	Gone to Hamster Heaven	Bardstown, KY&nbsp; United States	his wheel and his activity ball	his wheel and his activity ball	cucumbers
Stewie	February 13, 2005	Hamster (Syrian)	Black	Female	December 10, 2004	Gone to Hamster Heaven	Bardstown, KY&nbsp; United States	her activity ball, her chew sticks, the wheel, tissues.	her activity ball, her chew sticks, the wheel, tissues.	sunflower seeds, apples.
Dee-dee	February 16, 2005	Hamster (Mongolian)	Cream	Male	November 9, 2003	Gone to Hamster Heaven	Jakarta,  Indonesia	mainan puter-puter	mainan puter-puter	carrot
Delphi	September 20, 2004	Hamster (Syrian)	Sable Banded	Male	April 13, 2003	Gone to Hamster Heaven	Bellflower, CA&nbsp; United States	Bellflower, CA&nbsp; United States	Bellflower, CA&nbsp; United States	Bellflower, CA&nbsp; United States
Hazel	September 20, 2004	Hamster (Syrian)	Golden Banded	Female	July 11, 2003	Gone to Hamster Heaven	Bellflower, CA&nbsp; United States	The Water Bottle	The Water Bottle	The Water Bottle
Miles Davis	December 23, 2004	Hamster (Teddy Bear)	Brown	Male	January 6, 2004	Gone to Hamster Heaven	Lilburn, GA&nbsp; United States	His hamster Wheel	His hamster Wheel	bread
Nutmeg	November 22, 2004	Hamster (Syrian)	Cinnamon	Female	November 1, 2003	Gone to Hamster Heaven	Los Angeles, CA&nbsp; United States	Anything chewable	Anything chewable	Peanuts
Peach	September 20, 2004	Hamster (Syrian)	Cream	Male	July 16, 2004	Gone to Hamster Heaven	Bellflower, CA&nbsp; United States	A Ringing Ball	A Ringing Ball	A Ringing Ball
Parmie	September 20, 2004	Hamster (Syrian)	Cream	Male	November 6, 2003	Gone to Hamster Heaven	Bellflower, CA&nbsp; United States	Bellflower, CA&nbsp; United States	Bellflower, CA&nbsp; United States	Bellflower, CA&nbsp; United States
Zeus	September 20, 2004	Hamster (Syrian)	Golden Banded	Male	February 28, 2004	Gone to Hamster Heaven	Bellflower, CA&nbsp; United States	Bellflower, CA&nbsp; United States	Bellflower, CA&nbsp; United States	Bellflower, CA&nbsp; United States
Mandy	August 31, 2004	Hamster (Teddy Bear)	Silver	Female	February 27, 2004	Gone to Hamster Heaven	Va Beach, VA&nbsp; United States	Wheel	Wheel	Brocclii
Baron Baxter Von Baxter	May 24, 2004	Hamster (Syrian)	Cinnamon	Male	February 14, 2004	Gone to Hamster Heaven	Tallahassee, FL&nbsp; United States	Crittertrail Revolution	Crittertrail Revolution	Bananas and cucumbers
Pippin Galadriel Moonchild	November 14, 2004	Hamster (Russian)	Slate	Female	March 6, 2004	Gone to Hamster Heaven	Cary, NC&nbsp; United States	Cary, NC&nbsp; United States	Cary, NC&nbsp; United States	yogurt
Rebecca	November 14, 2004	Hamster (Russian)	Argente	Female	March 1, 2003	Gone to Hamster Heaven	Cary, NC&nbsp; United States	hamster ball	hamster ball	banana chip
Ivy	November 14, 2004	Hamster (Russian)	Albino	Female	January 1, 2004	Gone to Hamster Heaven	Cary, NC&nbsp; United States	cage bars	cage bars	pumpkin seed
Peaches	August 20, 2004	Hamster (Syrian)	Blonde	Female	November 15, 2003	Gone to Hamster Heaven	Chicago, IL&nbsp; United States	Purple Wheel	Purple Wheel	apples and carrots
Peachy	January 22, 2005	Hamster (Teddy Bear)	Cream	Male	May 3, 2002	Gone to Hamster Heaven	Ocean, NJ&nbsp; United States	Peachy's wheel	Peachy's wheel	grapes, broccoli, apples
Teddy	February 8, 2005	Hamster (Teddy Bear)	Sable	Male	March 3, 2004	Gone to Hamster Heaven	Santa Cruz, CA&nbsp; United States	carrot chew	carrot chew	cashews and yogurt drops
Paz	February 8, 2005	Hamster (Syrian)	Cream	Female	December 2, 2004	Gone to Hamster Heaven	Santa Cruz, CA&nbsp; United States	Santa Cruz, CA&nbsp; United States	Santa Cruz, CA&nbsp; United States	yogurt drops
Gary Gilmore	January 30, 2005	Hamster (Syrian)	Sable	Male	May 9, 2003	Gone to Hamster Heaven	Tallahassee, FL&nbsp; United States	Sadly,  it was the inside of our office wall	Sadly,  it was the inside of our office wall	poop
Kurtis	April 4, 2005	Hamster (Teddy Bear)	Honey	Male	November 3, 2003	Gone to Hamster Heaven	Hicksville, NY&nbsp; United States	his ball	his ball	sunflower seeds
Meatloaf	May 5, 2005	Hamster (Dwarf)	Argente	Female	February 5, 2005	Gone to Hamster Heaven	Morgantown, WV&nbsp; United States	Wheel	Wheel	Carrots
Stinky McPatterson	May 15, 2005	Hamster (Teddy Bear)	Grey	Male	April 15, 2005	Gone to Hamster Heaven	Morgantown, WV&nbsp; United States	Hamster ball aka &quot;space pod&quot;	Hamster ball aka &quot;space pod&quot;	Fruit Flavored Yogies
James (RIP)	June 14, 2005	Hamster (Syrian)	Cinnamon	Male	April 17, 2005	Gone to Hamster Heaven	Lommel,  Belgium	Hamster-wheel	Hamster-wheel	Prestige hamsterfood, cucumber, banana, appel
Muis (RIP)	June 14, 2005	Hamster (Teddy Bear)	Cream	Male	August 24, 2001	Gone to Hamster Heaven	Lommel,  Belgium	Hamster ball and wheel	Hamster ball and wheel	Sunflower seeds
Jezebel	August 10, 2005	Hamster (Syrian)	Golden Banded	Female	June 5, 2005	Gone to Hamster Heaven	Bellflower, CA&nbsp; United States	Bellflower, CA&nbsp; United States	Bellflower, CA&nbsp; United States	Bellflower, CA&nbsp; United States
Mr Sprinkles	August 25, 2005	Hamster (Teddy Bear)	Blonde	Male	August 2, 2004	Gone to Hamster Heaven	Buffalo, NY&nbsp; United States	His exercise wheel	His exercise wheel	Spinach, suger free strawberry yogurt
Chunk	August 25, 2005	Hamster (Russian)	Agouti	Male	September 1, 2004	Gone to Hamster Heaven	Buffalo, NY&nbsp; United States	Exercise saucer	Exercise saucer	Pumpkin seeds, sugar-free breakfast cereal
Mr. Boogity	August 25, 2005	Hamster (Syrian)	Black Banded	Male	February 1, 2005	Gone to Hamster Heaven	Buffalo, NY&nbsp; United States	Rolling Jingly Ball	Rolling Jingly Ball	Colored biscuits in food mix, wheat crackers
Splinter	August 26, 2005	Hamster (Russian)	Agouti	Male	January 1, 2004	Gone to Hamster Heaven	Buffalo, NY&nbsp; United States	My finger, and spaghetti noodles	My finger, and spaghetti noodles	Peanuts, broccoli
Sweet Pea	August 26, 2005	Hamster (Dwarf)	Argente	Female	February 1, 2005	Gone to Hamster Heaven	Buffalo, NY&nbsp; United States	Her wheel	Her wheel	peas, peanuts, pumpkin seeds, cereal
Tweedle Dee	August 26, 2005	Hamster (Dwarf)	Dove	Male	February 1, 2005	Gone to Hamster Heaven	Buffalo, NY&nbsp; United States	Anyone's hand but his mommie's. and his rolly jingly ball thingie	Anyone's hand but his mommie's. and his rolly jingly ball thingie	anything, he is a fattie. He loves sunflower seeds, like all hammies though.
Chrysanthemum	August 26, 2005	Hamster (Dwarf)	Platinum	Female	April 1, 2004	Gone to Hamster Heaven	Buffalo, NY&nbsp; United States	Her daughter, Mopsy, and her wheel	Her daughter, Mopsy, and her wheel	Lentils, rice krispies, any veggies
Mopsy	August 26, 2005	Hamster (Dwarf)	Platinum	Female	February 1, 2005	Gone to Hamster Heaven	Buffalo, NY&nbsp; United States	her wheel, or her little &quot; doghouse&quot;	her wheel, or her little &quot; doghouse&quot;	lentils and carrots
Dinky	August 26, 2005	Hamster (Dwarf)	Black	Male	April 1, 2005	Gone to Hamster Heaven	Buffalo, NY&nbsp; United States	his house	his house	anything, he loves to eat for such a tiny thing.
Alfred (R.I.P)	April 30, 2006	Hamster (Teddy Bear)	Golden Banded	Male	November 15, 2005	Gone to Hamster Heaven	Edmonton, AB&nbsp; Canada	I loved my Blue Ball that I run in daily.	I loved my Blue Ball that I run in daily.	I loved Carrots, Celery, Apples and My regular seeds and nutrablocks.
cupcake	June 2, 2006	Hamster (Dwarf)	Cream	Female	February 1, 2006	Gone to Hamster Heaven	Denver, CO&nbsp; United States	tons of tubes	tons of tubes	yogurt drops
Bogart	August 30, 2006	Hamster (Teddy Bear)	Golden Banded	Male	December 25, 2005	Gone to Hamster Heaven	Angeles City,  Philippines	My exercise wheel and toy car	My exercise wheel and toy car	grapes, bananas, potato chips, cheese, peanut brittle
Fredrick	September 6, 2006	Hamster (Teddy Bear)	Golden Banded	Male	June 27, 2005	Gone to Hamster Heaven	Corona, CA&nbsp; United States	Wheel	Wheel	apples
